Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
174276,"Causality: Models, Reasoning, and Inference",Judea Pearl,"Pearl, Judea",,"=""0521773628""","=""9780521773621""",0,4.16,Cambridge University Press,Hardcover,400,2000,2000,,2021/01/01,to-read,to-read (#240),to-read,,,,0,0
50489320,The Knowledge Machine: How Irrationality Created Modern Science,Michael Strevens,"Strevens, Michael",,"=""1631491377""","=""9781631491375""",0,3.75,Liveright,Hardcover,368,2020,2020,,2020/12/29,to-read,to-read (#239),to-read,,,,0,0
13697424,Engineering a Safer World: Systems Thinking Applied to Safety (Engineering Systems),Nancy G. Leveson,"Leveson, Nancy G.",,"=""0262016621""","=""9780262016629""",0,4.17,Mit Pr,Hardcover,534,2012,2012,,2020/12/27,to-read,to-read (#238),to-read,,,,0,0
89161,Judgment In Managerial Decision Making,Max H. Bazerman,"Bazerman, Max H.",,"=""0471684309""","=""9780471684305""",0,3.97,John Wiley & Sons Inc,Hardcover,241,2005,1986,,2020/12/26,to-read,to-read (#237),to-read,,,,0,0
7251752,Cognitive Science: An Introduction to the Science of the Mind,José Luis Bermúdez,"Bermúdez, José Luis",,"=""0521882001""","=""9780521882002""",0,3.86,Cambridge University Press,Hardcover,516,2010,2010,,2020/12/26,to-read,to-read (#236),to-read,,,,0,0
109588,The Great Conversation: A Historical Introduction to Philosophy,Norman Melchert,"Melchert, Norman",,"=""0195306821""","=""9780195306828""",0,4.01,Oxford University Press,Hardcover,783,2006,1995,,2020/12/26,to-read,to-read (#235),to-read,,,,0,0
9231119,Bourgeois Dignity: Why Economics Can't Explain the Modern World,Deirdre Nansen McCloskey,"McCloskey, Deirdre Nansen",,"=""0226556654""","=""9780226556659""",0,4.12,University of Chicago Press,Hardcover,592,2010,2010,,2020/12/24,to-read,to-read (#234),to-read,,,,0,0
106728,The Timeless Way of Building,Christopher W. Alexander,"Alexander, Christopher W.",,"=""0195024028""","=""9780195024029""",0,4.37,Oxford University Press,Hardcover,552,1979,1978,,2020/12/24,to-read,to-read (#233),to-read,,,,0,0
17315307,Every Cradle is a Grave: Rethinking the Ethics of Birth and Suicide,Sarah      Perry,"Perry, Sarah",,"=""1616583509""","=""9781616583507""",0,4.07,Nine-Banded Books,Paperback,250,2013,2013,,2020/12/24,to-read,to-read (#232),to-read,,,,0,0
10984768,"Tempo: Timing, Tactics and Strategy in Narrative-Driven Decision-Making",Venkatesh G. Rao,"Rao, Venkatesh G.",,"=""""","=""""",0,3.74,Ribbonfarm Inc.,Paperback,176,2011,2011,,2020/12/24,to-read,to-read (#231),to-read,,,,0,0
1143788,How to Talk About Books You Haven't Read,Pierre Bayard,"Bayard, Pierre",,"=""1596914696""","=""9781596914698""",0,3.44,Bloomsbury,Hardcover,185,2007,2020,,2020/12/24,to-read,to-read (#230),to-read,,,,0,0
648195,Mind Children: The Future of Robot and Human Intelligence,Hans Moravec,"Moravec, Hans",,"=""0674576187""","=""9780674576186""",0,4.06,Harvard University Press,Paperback,224,1990,1990,,2020/12/23,to-read,to-read (#229),to-read,,,,0,0
3040,Black Rednecks and White Liberals,Thomas Sowell,"Sowell, Thomas",,"=""1594030863""","=""9781594030864""",4,4.37,Encounter Books,Hardcover,372,2005,2005,,2019/12/01,,,read,"Good book to look at the other side of issues. These days I find it culturally difficult to engage with opinions I don't already hold. I found that a smarter man than I (Gwern) found Sowell to be duplicitous and I feel like this is one of those sorts of matters where I don't know enough to really know where I'm being duped. However, for what its worth, I enjoyed reading about<br/><br/>1. The middle agents throughout history<br/>2. How slavery worked globally<br/><br/>These two sections really opened my eyes. ",,,1,0
40222545,Alienated America: Why Some Places Thrive While Others Collapse,Timothy P. Carney,"Carney, Timothy P.",,"=""0062797107""","=""9780062797100""",0,3.93,Harper,Hardcover,368,2019,2019,,2020/12/21,to-read,to-read (#228),to-read,,,,0,0
40597263,"Experiments for Newlyweds: 50 Amazing Science Projects You Can Perform with Your Spouse (Activity Books for Couples, Funny Gift for Husband or Wife, Wedding and Shower Couple Gift)",Shaun  Gallagher,"Gallagher, Shaun",,"=""1492669768""","=""9781492669760""",0,3.78,Sourcebooks,Paperback,288,2019,,,2020/12/15,to-read,to-read (#227),to-read,,,,0,0
53730365,How Humans Judge Machines,César A.  Hidalgo,"Hidalgo, César A.","Diana Orghian, Jordi Albo Canals, Filipa de Almeida, Natalia Martín","=""0262045524""","=""9780262045520""",0,4.05,The MIT Press,Hardcover,256,2021,,,2020/12/10,to-read,to-read (#226),to-read,,,,0,0
99944,The Bhagavad Gita,Krishna-Dwaipayana Vyasa,"Vyasa, Krishna-Dwaipayana","Juan Mascaró, Simon Brodbeck","=""0140449183""","=""9780140449181""",0,4.19,Penguin,Paperback,160,2003,-400,,2020/12/06,to-read,to-read (#225),to-read,,,,0,0
117161,Life at the Bottom: The Worldview That Makes the Underclass,Theodore Dalrymple,"Dalrymple, Theodore",,"=""1566635055""","=""9781566635059""",0,4.23,Ivan R. Dee,Paperback,284,2003,2001,,2020/12/06,to-read,to-read (#224),to-read,,,,0,0
19400,The Decline and Fall of the Roman Empire,Edward Gibbon,"Gibbon, Edward","Daniel J. Boorstin, Giovanni Battista Piranesi, Hans-Friedrich Mueller","=""""","=""""",0,4.02,Modern Library,Paperback,1312,2003,1776,,2020/12/06,to-read,to-read (#223),to-read,,,,0,0
134474,"An Engine, Not a Camera: How Financial Models Shape Markets (Inside Technology)",Donald Angus MacKenzie,"MacKenzie, Donald Angus",,"=""0262134608""","=""9780262134606""",0,4.29,Mit Pr,Hardcover,377,2006,2006,,2020/12/04,to-read,to-read (#222),to-read,,,,0,0
9386,Free Play: Improvisation in Life and Art,Stephen Nachmanovitch,"Nachmanovitch, Stephen",,"=""0874776317""","=""9780874776317""",0,4.19,G.P. Putnam's Sons,Paperback,256,1991,1990,,2020/11/27,to-read,to-read (#221),to-read,,,,0,0
456977,Niels Lyhne,Jens Peter Jacobsen,"Jacobsen, Jens Peter",Hanna Astrup Larsen,"=""1598183451""","=""9781598183450""",0,3.97,Alan Rodgers Books,Paperback,146,2007,1880,,2020/11/27,to-read,to-read (#220),to-read,,,,0,0
